Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
34000,175028,193015,4566,43171,54557,20671,27501,96496899,78862,56020,7054,94200808,54305,84563034,23270,70768938,49253,220492599,10411,82304050,16182257
34250,157510,130110,4163,42084,49344,17928,25613,103226238,77177,45775,6930,97061418,61010,89374582,23398,78371689,61683,244018816,10147,73120438,16568497
34500,153712,130108,4239,41765,52368,16985,25270,99539188,75776,46360,6866,94500885,63742,82731261,21120,75157130,54576,142238096,9935,75216486,17226739
34750,168468,140454,4804,42852,52344,18314,27624,106647552,82652,51593,6926,98418984,55639,82683291,24781,78905141,55667,149949407,9750,76870774,20563484
35000,155922,133192,4635,46125,48610,18886,29053,107166861,88630,51825,6936,119036993,53365,90073239,23336,73431081,61750,109184705,11501,77294883,19662554
35250,152235,133036,4389,44053,50441,25860,29159,115622388,80525,53169,6977,102854070,74803,120005682,24855,80575650,78193,160434442,10776,83440097,18157509
35500,161729,143483,4547,49790,54637,15077,68323,112696907,80451,85877,6922,127871058,50436,115673706,25293,75511374,82567,166113624,11608,79039054,18490115
35750,154883,140967,4690,45688,63178,13779,28488,126128078,75392,58884,6991,129130727,52962,93081898,25315,79168877,80402,130669481,10960,86215323,17806370
36000,154145,140538,4725,63740,55475,14500,34471,131340247,79325,50903,6950,108983025,62925,92567048,22492,77198670,88232,125597864,10019,105209672,18935050
36250,172344,142575,3754,91762,58978,15097,28823,137503178,90822,48812,6866,107939294,57323,87715480,21301,122726838,74535,185821469,10706,114040712,18413253
36500,159939,151573,3912,118048,55648,14427,27510,156030063,81704,50261,6795,105492235,59355,87787697,23836,86269925,66751,162444972,10766,99646165,19613126
36750,166186,133364,4343,64084,52472,14454,25010,134311815,81726,51928,6909,106865819,53642,89676778,21914,84113033,51671,147724933,10254,81727740,18562126
37000,219282,130936,3789,53120,53216,13400,28549,124916587,80509,48107,7115,128081531,56111,94960758,24283,82885832,49210,141184125,17553,76823029,20629091
37250,168527,149721,3877,52692,53391,14749,202028,126226683,80193,51720,6922,401157668,56647,89800698,22194,87569350,51034,129359997,10580,89450876,18657650
37500,178894,130722,3784,48951,49358,15398,24472,132145626,82222,52687,6795,221971063,55319,90543594,23132,92980381,58451,149981798,9656,85771134,19170891
37750,167901,127102,3831,51767,68637,14243,25987,120580992,88650,57747,7321,132055765,62797,101328410,21491,87817034,50193,126263662,10421,92989048,18668655
38000,163696,144586,3862,52560,55190,16055,25851,126410715,84066,48668,9502,134173161,103382,93348063,22145,82207724,49050,129850513,10595,84582088,19227479
38250,178417,129327,3741,74239,51551,15829,25530,143628593,81597,49842,9403,111838195,59813,95729909,22189,86603711,55949,120959965,11044,98369749,19292617
